"county" "intemp" "inhi" "inlo" "ccap"
"Comal" 21 3.58 9.95 14
"Cooke" 13 4.31 11.64 1
"Cooke" 15 4.31 11.64 1
"Coryell" 13 3.88 9.73 20
"Coryell" 15 3.88 9.73 41
"Coryell" 17 3.88 9.73 43
"Coryell" 19 3.88 9.73 25
"Cottle" 9 4.32 10.64 1
"Cottle" 11 4.32 10.64 2
"Cottle" 13 4.32 10.64 3
"Cottle" 15 4.32 10.64 2
"Crockett" 11 3.85 10.03 1
"Crockett" 13 3.85 10.03 5
"Crockett" 15 3.85 10.03 8
"Crockett" 17 3.85 10.03 7
"Crockett" 19 3.85 10.03 2
"Culberson" 11 3.66 9.65 35
"Culberson" 13 3.66 9.65 57
"Culberson" 15 3.66 9.65 54
"Culberson" 17 3.66 9.65 26
"Dallas" 15 3.94 10.5 1
"Dawson" 13.06 4.2 10.41 1
"Denton" 15 4.14 11.17 1
"Hall" 11 4.29 11.08 1
"Hall" 13 4.29 11.08 1
"Hamilton" 15 3.85 10.2 1
"Hardeman" 9 4.42 11.31 1
"Hardeman" 11 4.42 11.31 1
"Hardeman" 13 4.42 11.31 2
"Hardeman" 15 4.42 11.31 1
"Houston" 15 3.84 9.77 1
"Houston" 17 3.84 9.77 2
"Houston" 19 3.84 9.77 1
"Howard" 13 4.11 10.56 1
"Howard" 15 4.11 10.56 1
"Hudspeth" 11 3.54 7.93 4
"Hudspeth" 13 3.54 7.93 5
"Hudspeth" 15 3.54 7.93 5
"Hudspeth" 17 3.54 7.93 2
"Irion" 13 4.05 10.7 1
"Irion" 15 4.05 10.7 2
"Irion" 17 4.05 10.7 1
"Jack" 11 4.2 11.26 1
"Jack" 13 4.2 11.26 2
"Jack" 15 4.2 11.26 3
"Jack" 17 4.2 11.26 1
"Jeff Davis" 11 3.64 8.33 6
"Jeff Davis" 13 3.64 8.33 15
"Jeff Davis" 15 3.64 8.33 17
"Jeff Davis" 17 3.64 8.33 11
"Jeff Davis" 19 3.64 8.33 1
"Johnson" 15 4 10.54 1
"Johnson" 17 4 10.54 1
"Karnes" 19 3.55 9.29 1
"Kaufman" 15 4.08 10.7 1
"Kendall" 13 3.55 10.13 11
"Kendall" 15 3.55 10.13 63
"Kendall" 17 3.55 10.13 91
"Kendall" 19 3.55 10.13 75
"Kendall" 21 3.55 10.13 27
"Kerr" 13 3.64 10.49 7
"Kerr" 15 3.64 10.49 19
"Kerr" 17 3.64 10.49 23
"Kerr" 19 3.64 10.49 16
"Kerr" 21 3.64 10.49 2
"Kimble" 13 3.66 10.07 9
"Kimble" 15 3.66 10.07 18
"Kimble" 17 3.66 10.07 19
"Kimble" 19 3.66 10.07 12
"King" 9 4.26 10.71 1
"King" 11 4.26 10.71 2
"King" 13 4.26 10.71 3
"King" 15 4.26 10.71 2
"Kinney" 13 3.39 8.92 1
"Kinney" 15 3.39 8.92 7
"Kinney" 17 3.39 8.92 10
"Kinney" 19 3.39 8.92 9
"Kinney" 21 3.39 8.92 4
"Lampasas" 13 3.92 10.36 6
"Lampasas" 15 3.92 10.36 11
"Lampasas" 17 3.92 10.36 12
"Lampasas" 19 3.92 10.36 7
"Pecos" 11 3.54 9.75 1
"Pecos" 13 3.54 9.75 6
"Pecos" 15 3.54 9.75 8
"Pecos" 17 3.54 9.75 7
"Pecos" 19 3.54 9.75 2
"Presidio" 11 3.54 8.52 4
"Presidio" 13 3.54 8.52 15
"Presidio" 15 3.54 8.52 19
"Presidio" 17 3.54 8.52 15
"Presidio" 19 3.54 8.52 4
"Randall" 7 4.57 11.51 1
"Randall" 9 4.57 11.51 2
"Randall" 11 4.57 11.51 3
"Randall" 13 4.57 11.51 2
"Reagan" 13 3.9 10.62 1
"Reagan" 15 3.9 10.62 1
"Real" 13 3.56 9.97 7
"Real" 15 3.56 9.97 23
"Real" 17 3.56 9.97 28
"Real" 19 3.56 9.97 20
"Real" 21 3.56 9.97 4
"Reeves" 11 3.58 9.83 2
"Reeves" 13 3.58 9.83 4
"Reeves" 15 3.58 9.83 5
"Reeves" 17 3.58 9.83 3
"Rusk" 15 3.93 9.83 1
"Rusk" 17 3.93 9.83 1
"Rusk" 19 3.93 9.83 1
"San Patricio" 19 3.27 8.95 1
"San Saba" 13 3.9 10.44 40
"San Saba" 15 3.9 10.44 71
"San Saba" 17 3.9 10.44 70
"San Saba" 19 3.9 10.44 36
"Schleicher" 13 3.86 10.4 1
"Schleicher" 15 3.86 10.4 1
"Schleicher" 17 3.86 10.4 1
"Schleicher" 19 3.86 10.4 1
"Scurry" 11 4.24 10.71 1
"Scurry" 13 4.24 10.71 1
"Scurry" 15 4.24 10.71 1
"Shelby" 15 3.89 9.38 1
"Shelby" 17 3.89 9.38 1
"Somervell" 15 4.04 10.45 1
"Starr" 21 3.13 8.13 1
"Sterling" 14.34 4.16 10.89 1
"Stonewall" 11 4.36 10.58 1
"Stonewall" 13 4.36 10.58 2
"Stonewall" 15 4.36 10.58 1
"Wheeler" 9 4.65 11.3 1
"Wheeler" 11 4.65 11.3 1
"Williamson" 13 3.69 10.01 22
"Williamson" 15 3.69 10.01 84
"Williamson" 17 3.69 10.01 112
"Williamson" 19 3.69 10.01 86
"Williamson" 21 3.69 10.01 24
